,Text,Id,Length,Nums,Tokens,NumsPerWord,TokensPerWord,Wall
0,"👕мужская рубашка primark
размер s-m
состояние 4,5 / 5
цена: 10 лари 

🌸платье в цветочек на заявязке и пуговицах
размер s
состояние 4,5 / 5
цена: 15 лари 

💙голубая рубашка 
размер мужской xs-s, женский s-m
состояние 4 / 5
цена: 7 лари

🧥плотный плащ, винтаж
размер s оверсайз, м
состояние 4,5 / 5
цена: 40 лари 

🌷рубашка в цветочек, винтаж
размер s
состояние 5 / 5
цена: 20 лари

👗платье в горошек
размер s
состояние 5 / 5
цена: 15 лари","{""platform"": ""telegram"", ""wall_id"": 1332882905, ""post_id"": 579955}",84,18,269,0.2142857142857142,3.202380952380953,1332882905
1,"беговые кроссовки saucony men's axon 2, 44 размер (us10.5)
новые, 130лари. район м 300 арагвинцев","{""platform"": ""telegram"", ""wall_id"": 1332882905, ""post_id"": 665316}",16,5,50,0.3125,3.125,1332882905
2,"wifi repeater xiaomi 
15 gel. есть две штуки

район переходного моста жд вокзала","{""platform"": ""telegram"", ""wall_id"": 1332882905, ""post_id"": 437718}",13,1,33,0.0769230769230769,2.5384615384615383,1332882905
3,"и еще раз всем привет! продаю вафельницу wf 2081 m. она нам служила верой и правдой полгода, подарив множество радостных завтраков и ужинов с вафлями.

эта вафельница – надежный помощник, который помогает делать вафли быстро и без лишнего труда. благодаря ей, ваши вафли всегда получаются идеальными: золотистыми, хрустящими снаружи и мягкими внутри.

мы использовали ее аккуратно, поэтому она все еще в отличном состоянии и готова к новым вафельным приключениям.

если вы хотите привнести в свою жизнь немного сладкого волшебства, то эта вафельница идеально подойдет для вас. продаю за 40 лари. забирать из чугурети (около дэдаэна парка). буду рада вашим сообщениям!","{""platform"": ""telegram"", ""wall_id"": 1332882905, ""post_id"": 477289}",100,2,316,0.02,3.16,1332882905
4,"1. джинсы moms новые с бирками вайкики, маркировка 122-128, длина 78 см, шаговый 52 см, талия 32 см. 35 лари
 2. кеды новые, стелька 19 см. 45 лари","{""platform"": ""telegram"", ""wall_id"": 1332882905, ""post_id"": 335743}",28,9,82,0.3214285714285714,2.9285714285714284,1332882905
5,"платье в идеальном состоянии. надевала один раз. полноразмерный s. 
35 лари. варкетили.","{""platform"": ""telegram"", ""wall_id"": 1332882905, ""post_id"": 773398}",12,1,43,0.0833333333333333,3.583333333333333,1332882905
6,"1. абсолютно новая игровая мышь gigabyte aorus m2  ( цена 95 ₾ )
 2. бритва philips electric shaver series 1000 s1103 новый , без коробки ( цена 70 ₾ )
 3. оригинальные солнцезащитные очки hugo boss в идеальном состоянии и полном комплекте : кейс , фирменная салфетка ( цена 170 ₾ )
 4. блендер стационарный smeg blf01bleu черный ( цена 400 ₾  )
 5. минималистичная поясная сумка унисекс ( цена 15 ₾ )
 6. зеркало zara home настольное в металлической рамке 33х56см ( цена 140 ₾ )
 7. iphone xr 128gb black ни разу не вскрывался ( цена 750 ₾ )","{""platform"": ""telegram"", ""wall_id"": 1332882905, ""post_id"": 849196}",84,20,257,0.238095238095238,3.0595238095238093,1332882905
7,"доброго всем дня! продаю свой ноут в очень хорошем состоянии! озу- 8 g. ssd- 128 g. подробные характеристики на фото. шустрый, по работе вопросов нет. аккумулятор родной, заряд держит отлично (до 5 часов работы).
цена- 650 лар. (торг-минимальный)","{""platform"": ""telegram"", ""wall_id"": 1332882905, ""post_id"": 367069}",39,4,122,0.1025641025641025,3.128205128205128,1332882905
8,"кофемашина профессиональная  promac green cme 2gp надежный аппарат полностью обслужен 
кофемолка прямого помола fiorenzato f64
питчеры, джиггеры
( можно в рублях)","{""platform"": ""telegram"", ""wall_id"": 1332882905, ""post_id"": 466215}",20,2,78,0.1,3.9,1332882905
9,"iphone 11 256gb 

айфон в идеальном состоянии. не вскрывался и в ремонте не был. на экране царапин нет. в комплекте зарядка и чехол 

цена 870 лари

согласован пост с @ads_geo_bot","{""platform"": ""telegram"", ""wall_id"": 1332882905, ""post_id"": 735030}",30,3,83,0.1,2.7666666666666666,1332882905
10,"компьютерный стол.
🏷️ 300 gel

глубина 70-74см
ширина 115см
высота 78см

полностью разбирается, ножки регулируются (чтобы не шатался). есть вешалка под наушники и держатель под бутылку (оба откручиваются).
столешница в хорошем состоянии, но есть мелкие царапины не влияющие никак на использование","{""platform"": ""telegram"", ""wall_id"": 1332882905, ""post_id"": 778727}",41,4,150,0.0975609756097561,3.658536585365854,1332882905
11,продам плоскую тарелку versace оригинал. цена 150 лари. по всем вопросам обращайтесь в личку.,"{""platform"": ""telegram"", ""wall_id"": 1332882905, ""post_id"": 766913}",14,1,46,0.0714285714285714,3.2857142857142856,1332882905
